,user_id,number_of_ticks,date_created,chapter,book,numberofentriesofbook,numberofusersofbook,product_manning_id,user_owns_book,source,target,next_user,keep_edge
26,-2145886989,2," ""2019-12-13 14:03:21""",chapter-3,mcnamara,2533,461,880,1,"mcnamara, chapter-3","mcnamara, chapter-3",-2145886989.0,1.0
27,-2145886989,8," ""2019-12-13 14:04:21""",chapter-3,mcnamara,2533,461,880,1,"mcnamara, chapter-3","mcnamara, chapter-3",-2145886989.0,1.0
28,-2145886989,2," ""2019-12-13 14:08:21""",chapter-3,mcnamara,2533,461,880,1,"mcnamara, chapter-3","mcnamara, chapter-4",-2145886989.0,1.0
30,-2145886989,41," ""2019-12-13 14:22:53""",chapter-4,mcnamara,2533,461,880,1,"mcnamara, chapter-4","mcnamara, chapter-5",-2145886989.0,1.0
39,-2145886989,61," ""2019-12-13 15:21:59""",chapter-5,mcnamara,2533,461,880,1,"mcnamara, chapter-5","mcnamara, chapter-4",-2145886989.0,1.0
31,-2145886989,3," ""2019-12-13 15:49:31""",chapter-4,mcnamara,2533,461,880,1,"mcnamara, chapter-4","mcnamara, chapter-4",-2145886989.0,1.0
33,-2145886989,10," ""2019-12-13 15:56:35""",chapter-4,mcnamara,2533,461,880,1,"mcnamara, chapter-4","mcnamara, chapter-4",-2145886989.0,1.0
34,-2145886989,103," ""2019-12-13 16:01:35""",chapter-4,mcnamara,2533,461,880,1,"mcnamara, chapter-4","mcnamara, chapter-4",-2145886989.0,1.0
35,-2145886989,2," ""2019-12-14 20:20:29""",chapter-4,mcnamara,2533,461,880,1,"mcnamara, chapter-4","mcnamara, chapter-5",-2145886989.0,1.0
36,-2145886989,12," ""2019-12-14 20:21:22""",chapter-5,mcnamara,2533,461,880,1,"mcnamara, chapter-5","mcnamara, chapter-5",-2145886989.0,1.0
37,-2145886989,21," ""2019-12-14 20:21:52""",chapter-5,mcnamara,2533,461,880,1,"mcnamara, chapter-5","mcnamara, chapter-5",-2145886989.0,1.0
38,-2145886989,26," ""2019-12-15 13:59:03""",chapter-5,mcnamara,2533,461,880,1,"mcnamara, chapter-5","mcnamara, chapter-5",-2145886989.0,1.0
40,-2145886989,2," ""2019-12-15 22:04:33""",chapter-5,mcnamara,2533,461,880,1,"mcnamara, chapter-5","mcnamara, chapter-5",-2145886989.0,1.0
41,-2145886989,87," ""2019-12-15 22:05:33""",chapter-5,mcnamara,2533,461,880,1,"mcnamara, chapter-5","mcnamara, chapter-6",-2145886989.0,1.0
42,-2145886989,4," ""2019-12-15 22:51:01""",chapter-6,mcnamara,2533,461,880,1,"mcnamara, chapter-6","mcnamara, chapter-6",-2145886989.0,1.0
43,-2145886989,8," ""2019-12-15 22:53:01""",chapter-6,mcnamara,2533,461,880,1,"mcnamara, chapter-6","mcnamara, chapter-6",-2145886989.0,1.0
44,-2145886989,48," ""2019-12-15 22:57:01""",chapter-6,mcnamara,2533,461,880,1,"mcnamara, chapter-6","mcnamara, chapter-6",-2145886989.0,1.0
46,-2145143926,1," ""2019-11-05 13:22:34""",chapter-4,wong,769,275,1157,1,"wong, chapter-4","wong, chapter-2",-2145143926.0,1.0
47,-2145143926,23," ""2019-11-21 14:40:27""",chapter-2,wong,769,275,1157,1,"wong, chapter-2","wong, chapter-2",-2145143926.0,1.0
48,-2145143926,4," ""2019-11-21 14:58:32""",chapter-2,wong,769,275,1157,1,"wong, chapter-2","wong, chapter-2",-2145143926.0,1.0
49,-2145143926,2," ""2019-11-21 15:00:32""",chapter-2,wong,769,275,1157,1,"wong, chapter-2","wong, chapter-2",-2145143926.0,1.0
51,-2144909927,3," ""2019-10-19 20:45:52""",chapter-6,infante,165,58,937,0,"infante, chapter-6","infante, chapter-6",-2144909927.0,1.0
53,-2144909927,32," ""2019-10-19 20:47:22""",chapter-6,infante,165,58,937,0,"infante, chapter-6","infante, chapter-6",-2144909927.0,1.0
52,-2144909927,63," ""2019-10-20 14:46:24""",chapter-6,infante,165,58,937,0,"infante, chapter-6","infante, chapter-7",-2144909927.0,1.0
54,-2144909927,60," ""2019-10-22 20:35:48""",chapter-7,infante,165,58,937,0,"infante, chapter-7","infante, chapter-7",-2144909927.0,1.0
60,-2144534185,10," ""2019-10-28 03:28:03""",chapter-8,wittig4,724,181,938,1,"wittig4, chapter-8","wittig4, chapter-8",-2144534185.0,1.0
58,-2144534185,2," ""2019-10-28 03:31:02""",chapter-8,wittig4,724,181,938,1,"wittig4, chapter-8","wittig4, chapter-8",-2144534185.0,1.0
57,-2144534185,1," ""2019-10-28 03:51:45""",chapter-8,wittig4,724,181,938,1,"wittig4, chapter-8","wittig4, chapter-8",-2144534185.0,1.0
59,-2144534185,1," ""2019-10-28 03:55:15""",chapter-8,wittig4,724,181,938,1,"wittig4, chapter-8","wittig4, chapter-8",-2144534185.0,1.0
61,-2144534185,1," ""2019-10-28 03:56:15""",chapter-8,wittig4,724,181,938,1,"wittig4, chapter-8","wittig4, chapter-9",-2144534185.0,1.0
62,-2144534185,5," ""2019-10-28 03:56:44""",chapter-9,wittig4,724,181,938,1,"wittig4, chapter-9","wittig4, chapter-9",-2144534185.0,1.0
68,-2143974526,76," ""2019-11-05 18:41:05""",chapter-2,lane,1417,398,888,1,"lane, chapter-2","lane, chapter-2",-2143974526.0,1.0
66,-2143974526,20," ""2019-11-05 18:41:35""",chapter-2,lane,1417,398,888,0,"lane, chapter-2","lane, chapter-2",-2143974526.0,1.0
65,-2143974526,4," ""2019-11-05 18:51:35""",chapter-2,lane,1417,398,888,0,"lane, chapter-2","lane, chapter-2",-2143974526.0,1.0
67,-2143974526,1," ""2019-11-05 19:00:27""",chapter-2,lane,1417,398,888,0,"lane, chapter-2","lane, chapter-11",-2143974526.0,1.0
69,-2143974526,1," ""2019-11-28 00:18:13""",chapter-11,lane,1417,398,888,1,"lane, chapter-11","lane, chapter-11",-2143974526.0,1.0
70,-2143974526,1," ""2019-11-28 00:18:43""",chapter-11,lane,1417,398,888,1,"lane, chapter-11","lane, chapter-11",-2143974526.0,1.0
71,-2143974526,22," ""2019-11-28 00:19:13""",chapter-11,lane,1417,398,888,1,"lane, chapter-11","lane, chapter-11",-2143974526.0,1.0
72,-2143974526,16," ""2019-11-28 00:32:30""",chapter-11,lane,1417,398,888,1,"lane, chapter-11","lane, chapter-11",-2143974526.0,1.0
73,-2143974526,14," ""2019-11-28 00:40:30""",chapter-11,lane,1417,398,888,1,"lane, chapter-11","lane, chapter-11",-2143974526.0,1.0
74,-2143974526,91," ""2019-11-28 00:47:30""",chapter-11,lane,1417,398,888,1,"lane, chapter-11","lane, chapter-12",-2143974526.0,1.0
76,-2143974526,9," ""2019-11-28 02:27:11""",chapter-12,lane,1417,398,888,1,"lane, chapter-12","lane, chapter-12",-2143974526.0,1.0
77,-2143947037,2," ""2019-11-03 02:27:44""",welcome,robinson4,717,129,1101,1,"robinson4, welcome","robinson4, chapter-6",-2143947037.0,1.0
80,-2143947037,2," ""2019-11-03 02:29:33""",chapter-6,robinson4,717,129,1101,1,"robinson4, chapter-6","robinson4, chapter-6",-2143947037.0,1.0
91,-2143947037,69," ""2019-11-03 02:30:03""",chapter-6,robinson4,717,129,1101,1,"robinson4, chapter-6","robinson4, chapter-6",-2143947037.0,1.0
92,-2143947037,9," ""2019-11-03 03:40:55""",chapter-6,robinson4,717,129,1101,1,"robinson4, chapter-6","robinson4, chapter-6",-2143947037.0,1.0
78,-2143947037,1," ""2019-11-03 03:42:55""",chapter-6,robinson4,717,129,1101,1,"robinson4, chapter-6","robinson4, chapter-6",-2143947037.0,1.0
79,-2143947037,4," ""2019-11-03 03:43:25""",chapter-6,robinson4,717,129,1101,1,"robinson4, chapter-6","robinson4, chapter-4",-2143947037.0,1.0
81,-2143947037,1," ""2019-11-11 04:44:22""",chapter-4,robinson4,717,129,1101,1,"robinson4, chapter-4","robinson4, chapter-4",-2143947037.0,1.0
82,-2143947037,1," ""2019-11-11 04:44:35""",chapter-4,robinson4,717,129,1101,1,"robinson4, chapter-4","robinson4, chapter-8",-2143947037.0,1.0
83,-2143947037,3," ""2019-11-11 04:45:12""",chapter-8,robinson4,717,129,1101,1,"robinson4, chapter-8","robinson4, chapter-8",-2143947037.0,1.0
84,-2143947037,1," ""2019-11-11 04:46:42""",chapter-8,robinson4,717,129,1101,1,"robinson4, chapter-8","robinson4, chapter-8",-2143947037.0,1.0
85,-2143947037,5," ""2019-11-11 04:47:12""",chapter-8,robinson4,717,129,1101,1,"robinson4, chapter-8","robinson4, chapter-8",-2143947037.0,1.0
86,-2143947037,16," ""2019-11-11 04:49:42""",chapter-8,robinson4,717,129,1101,1,"robinson4, chapter-8","robinson4, chapter-8",-2143947037.0,1.0
87,-2143947037,3," ""2019-11-11 04:57:43""",chapter-8,robinson4,717,129,1101,1,"robinson4, chapter-8","robinson4, chapter-8",-2143947037.0,1.0
90,-2143947037,2," ""2019-11-11 04:59:12""",chapter-8,robinson4,717,129,1101,1,"robinson4, chapter-8","robinson4, chapter-8",-2143947037.0,1.0
88,-2143947037,2," ""2019-11-11 04:59:42""",chapter-8,robinson4,717,129,1101,1,"robinson4, chapter-8","robinson4, chapter-8",-2143947037.0,1.0
94,-2143477032,1," ""2019-12-02 06:47:18""",chapter-8,borgatti,375,115,789,1,"borgatti, chapter-8","borgatti, welcome",-2143477032.0,1.0
96,-2143166050,1," ""2019-10-30 13:37:19""",chapter-8,lauret,2604,695,1045,0,"lauret, chapter-8","lauret, chapter-8",-2143166050.0,1.0
97,-2143166050,16," ""2019-10-30 13:37:49""",chapter-8,lauret,2604,695,1045,0,"lauret, chapter-8","lauret, chapter-11",-2143166050.0,1.0
98,-2143166050,2," ""2019-10-30 13:45:47""",chapter-11,lauret,2604,695,1045,0,"lauret, chapter-11","lauret, chapter-11",-2143166050.0,1.0
99,-2143166050,2," ""2019-10-30 13:53:58""",chapter-11,lauret,2604,695,1045,0,"lauret, chapter-11","fain2, about-this-book",-2143166050.0,1.0
103,-2142687959,1," ""2019-11-11 14:45:27""",chapter-2,infante,165,58,937,0,"infante, chapter-2","infante, chapter-3",-2142687959.0,1.0
106,-2141923657,21," ""2019-12-11 18:06:10""",chapter-3,rfeldman,1280,335,832,0,"rfeldman, chapter-3","rfeldman, chapter-2",-2141923657.0,1.0
111,-2141814029,1," ""2019-10-17 19:59:55""",chapter-1,kopec2,792,337,1073,1,"kopec2, chapter-1","morales, welcome",-2141814029.0,1.0
108,-2141814029,1," ""2019-10-17 20:10:14""",welcome,morales,525,212,997,0,"morales, welcome","zai, welcome",-2141814029.0,1.0
112,-2141814029,1," ""2019-10-17 20:11:12""",welcome,zai,909,249,995,1,"zai, welcome","hillard, welcome",-2141814029.0,1.0
109,-2141814029,1," ""2019-10-28 12:57:18""",welcome,hillard,1971,377,1085,0,"hillard, welcome","kopec2, chapter-2",-2141814029.0,1.0
113,-2141814029,3," ""2019-11-19 09:54:47""",chapter-2,kopec2,792,337,1073,1,"kopec2, chapter-2","godsey, about-this-book",-2141814029.0,1.0
114,-2141814029,1," ""2019-11-20 08:59:34""",about-this-book,godsey,150,45,660,1,"godsey, about-this-book","godsey, chapter-2",-2141814029.0,1.0
115,-2141814029,1," ""2019-11-20 10:43:04""",chapter-2,godsey,150,45,660,1,"godsey, chapter-2","godsey, chapter-5",-2141814029.0,1.0
116,-2141814029,2," ""2019-11-20 13:35:08""",chapter-5,godsey,150,45,660,1,"godsey, chapter-5","godsey, chapter-5",-2141814029.0,1.0
117,-2141814029,13," ""2019-11-20 13:36:07""",chapter-5,godsey,150,45,660,1,"godsey, chapter-5","godsey, chapter-5",-2141814029.0,1.0
118,-2141814029,6," ""2019-11-20 13:42:38""",chapter-5,godsey,150,45,660,1,"godsey, chapter-5","godsey, chapter-5",-2141814029.0,1.0
119,-2141814029,12," ""2019-11-20 13:45:37""",chapter-5,godsey,150,45,660,1,"godsey, chapter-5","godsey, chapter-5",-2141814029.0,1.0
120,-2141814029,28," ""2019-11-20 13:51:38""",chapter-5,godsey,150,45,660,1,"godsey, chapter-5","godsey, part-2",-2141814029.0,1.0
121,-2141814029,1," ""2019-11-20 17:13:53""",part-2,godsey,150,45,660,1,"godsey, part-2","godsey, chapter-6",-2141814029.0,1.0
122,-2141814029,1," ""2019-11-21 09:13:26""",chapter-6,godsey,150,45,660,1,"godsey, chapter-6","godsey, chapter-8",-2141814029.0,1.0
123,-2141814029,27," ""2019-11-21 11:08:32""",chapter-8,godsey,150,45,660,1,"godsey, chapter-8","umali, chapter-5",-2141814029.0,1.0
110,-2141814029,2," ""2019-11-21 11:27:51""",chapter-5,umali,234,75,630,0,"umali, chapter-5","godsey, chapter-8",-2141814029.0,1.0
124,-2141814029,12," ""2019-11-21 14:09:32""",chapter-8,godsey,150,45,660,1,"godsey, chapter-8","godsey, chapter-8",-2141814029.0,1.0
125,-2141814029,1," ""2019-11-21 14:20:36""",chapter-8,godsey,150,45,660,1,"godsey, chapter-8","godsey, chapter-8",-2141814029.0,1.0
126,-2141814029,3," ""2019-11-21 14:21:07""",chapter-8,godsey,150,45,660,1,"godsey, chapter-8","godsey, chapter-9",-2141814029.0,1.0
127,-2141814029,5," ""2019-11-21 14:24:03""",chapter-9,godsey,150,45,660,1,"godsey, chapter-9","godsey, chapter-9",-2141814029.0,1.0
128,-2141814029,10," ""2019-11-21 14:28:05""",chapter-9,godsey,150,45,660,1,"godsey, chapter-9","godsey, chapter-9",-2141814029.0,1.0
129,-2141814029,4," ""2019-11-21 14:33:04""",chapter-9,godsey,150,45,660,1,"godsey, chapter-9","godsey, chapter-9",-2141814029.0,1.0
130,-2141814029,1," ""2019-11-21 14:38:07""",chapter-9,godsey,150,45,660,1,"godsey, chapter-9","godsey, chapter-9",-2141814029.0,1.0
131,-2141814029,4," ""2019-11-21 14:38:37""",chapter-9,godsey,150,45,660,1,"godsey, chapter-9","godsey, chapter-9",-2141814029.0,1.0
132,-2141814029,2," ""2019-11-21 14:41:07""",chapter-9,godsey,150,45,660,1,"godsey, chapter-9","godsey, chapter-11",-2141814029.0,1.0
133,-2141814029,5," ""2019-11-21 15:13:54""",chapter-11,godsey,150,45,660,1,"godsey, chapter-11","godsey, chapter-11",-2141814029.0,1.0
134,-2141814029,1," ""2019-11-21 15:16:24""",chapter-11,godsey,150,45,660,1,"godsey, chapter-11","godsey, chapter-11",-2141814029.0,1.0
135,-2141814029,1," ""2019-11-21 15:16:54""",chapter-11,godsey,150,45,660,1,"godsey, chapter-11","perrin, foreword",-2141814029.0,1.0
136,-2141814029,1," ""2019-11-21 21:16:29""",foreword,perrin,761,239,1007,1,"perrin, foreword","wittig, about-this-book",-2141814029.0,1.0
137,-2141814029,1," ""2019-11-22 12:57:26""",about-this-book,wittig,107,58,708,1,"wittig, about-this-book","iannone, welcome",-2141814029.0,1.0
139,-2141733399,4," ""2019-11-18 22:18:31""",about-the-cover,shukla,392,123,818,1,"shukla, about-the-cover","harrison, chapter-4",-2141733399.0,1.0
143,-2141733399,37," ""2019-11-19 21:46:40""",chapter-4,harrison,75,19,659,1,"harrison, chapter-4","shukla, chapter-6",-2141733399.0,1.0
140,-2141733399,4," ""2019-11-25 21:57:37""",chapter-6,shukla,392,123,818,1,"shukla, chapter-6","shukla, chapter-1",-2141733399.0,1.0
141,-2141733399,5," ""2019-11-25 21:59:59""",chapter-1,shukla,392,123,818,1,"shukla, chapter-1","shukla, chapter-1",-2141733399.0,1.0
142,-2141733399,18," ""2019-11-25 22:02:29""",chapter-1,shukla,392,123,818,1,"shukla, chapter-1","shukla, chapter-1",-2141733399.0,1.0
145,-2141421414,1," ""2019-12-10 08:41:31""",chapter-8,apeltsin,1150,444,1105,1,"apeltsin, chapter-8","apeltsin, chapter-8",-2141421414.0,1.0
147,-2141284420,1," ""2019-11-15 16:51:57""",chapter-1,grummitt,203,51,835,0,"grummitt, chapter-1","veen, about-this-book",-2141284420.0,1.0
152,-2141275780,11," ""2019-11-06 01:36:30""",about-this-book,hahn,155,41,629,1,"hahn, about-this-book","nickoloff, chapter-1",-2141275780.0,1.0
153,-2141275780,1," ""2019-11-08 08:33:19""",chapter-1,nickoloff,184,109,666,1,"nickoloff, chapter-1","nickoloff2, welcome",-2141275780.0,1.0
149,-2141275780,1," ""2019-11-08 08:33:51""",welcome,nickoloff2,1985,552,902,0,"nickoloff2, welcome","nickoloff, chapter-1",-2141275780.0,1.0
154,-2141275780,3," ""2019-11-08 08:34:30""",chapter-1,nickoloff,184,109,666,1,"nickoloff, chapter-1","nickoloff, chapter-1",-2141275780.0,1.0
155,-2141275780,1," ""2019-11-08 08:36:00""",chapter-1,nickoloff,184,109,666,1,"nickoloff, chapter-1","cantelon2, chapter-3",-2141275780.0,1.0
156,-2141275780,1," ""2019-11-08 08:36:35""",chapter-3,cantelon2,428,105,677,1,"cantelon2, chapter-3","cantelon2, chapter-4",-2141275780.0,1.0
158,-2141275780,12," ""2019-11-08 09:14:37""",chapter-4,cantelon2,428,105,677,1,"cantelon2, chapter-4","cantelon2, chapter-4",-2141275780.0,1.0
157,-2141275780,1," ""2019-11-08 09:15:07""",chapter-4,cantelon2,428,105,677,1,"cantelon2, chapter-4","cantelon2, chapter-4",-2141275780.0,1.0
159,-2141275780,2," ""2019-11-08 09:26:08""",chapter-4,cantelon2,428,105,677,1,"cantelon2, chapter-4","cantelon2, chapter-4",-2141275780.0,1.0
160,-2141275780,3," ""2019-11-08 09:27:07""",chapter-4,cantelon2,428,105,677,1,"cantelon2, chapter-4","cantelon2, chapter-4",-2141275780.0,1.0
161,-2141275780,3," ""2019-11-08 09:28:37""",chapter-4,cantelon2,428,105,677,1,"cantelon2, chapter-4","cantelon2, chapter-4",-2141275780.0,1.0
163,-2141275780,4," ""2019-11-08 09:30:07""",chapter-4,cantelon2,428,105,677,1,"cantelon2, chapter-4","cantelon2, chapter-4",-2141275780.0,1.0
162,-2141275780,1," ""2019-11-08 09:31:07""",chapter-4,cantelon2,428,105,677,1,"cantelon2, chapter-4","cantelon2, chapter-4",-2141275780.0,1.0
164,-2141275780,3," ""2019-11-08 09:32:37""",chapter-4,cantelon2,428,105,677,1,"cantelon2, chapter-4","derosa, chapter-3",-2141275780.0,1.0
165,-2141275780,2," ""2019-11-08 09:43:36""",chapter-3,derosa,77,27,596,1,"derosa, chapter-3","maras, chapter-14",-2141275780.0,1.0
166,-2141275780,1," ""2019-11-08 09:44:25""",chapter-14,maras,1027,232,705,1,"maras, chapter-14","nickoloff2, chapter-1",-2141275780.0,1.0
151,-2141275780,12," ""2019-11-25 06:10:12""",chapter-1,nickoloff2,1985,552,902,0,"nickoloff2, chapter-1","nickoloff2, chapter-1",-2141275780.0,1.0
150,-2141275780,20," ""2019-11-25 06:12:28""",chapter-1,nickoloff2,1985,552,902,0,"nickoloff2, chapter-1","hocking2, chapter-7",-2141275780.0,1.0
172,-2140681835,1," ""2019-10-23 11:07:58""",chapter-1,hillard,1971,377,1085,1,"hillard, chapter-1","hillard, welcome",-2140681835.0,1.0
173,-2140681835,2," ""2019-10-23 11:08:37""",welcome,hillard,1971,377,1085,1,"hillard, welcome","orland, chapter-8",-2140681835.0,1.0
174,-2140492027,1," ""2019-11-26 22:09:20""",chapter-1,lyon,717,283,1194,0,"lyon, chapter-1","juric2, about-the-cover-illustration",-2140492027.0,1.0
175,-2140492027,1," ""2019-11-26 22:10:13""",about-the-cover-illustration,juric2,712,172,926,0,"juric2, about-the-cover-illustration","juric2, chapter-2",-2140492027.0,1.0
177,-2140492027,37," ""2019-11-26 22:31:22""",chapter-2,juric2,712,172,926,1,"juric2, chapter-2","juric2, chapter-2",-2140492027.0,1.0
176,-2140492027,16," ""2019-11-26 22:42:53""",chapter-2,juric2,712,172,926,1,"juric2, chapter-2","juric2, chapter-6",-2140492027.0,1.0
183,-2140492027,59," ""2019-12-04 18:59:21""",chapter-6,juric2,712,172,926,1,"juric2, chapter-6","juric2, chapter-6",-2140492027.0,1.0
178,-2140492027,46," ""2019-12-04 19:02:51""",chapter-6,juric2,712,172,926,1,"juric2, chapter-6","juric2, chapter-6",-2140492027.0,1.0
182,-2140492027,93," ""2019-12-04 20:59:37""",chapter-6,juric2,712,172,926,1,"juric2, chapter-6","juric2, chapter-5",-2140492027.0,1.0
179,-2140492027,2," ""2019-12-04 21:27:28""",chapter-5,juric2,712,172,926,1,"juric2, chapter-5","juric2, chapter-5",-2140492027.0,1.0
180,-2140492027,1," ""2019-12-04 21:28:29""",chapter-5,juric2,712,172,926,1,"juric2, chapter-5","juric2, chapter-5",-2140492027.0,1.0
184,-2140455898,3," ""2019-11-24 17:40:25""",chapter-5,buonanno,639,134,825,1,"buonanno, chapter-5","buonanno, chapter-5",-2140455898.0,1.0
185,-2140455898,67," ""2019-11-24 17:41:55""",chapter-5,buonanno,639,134,825,1,"buonanno, chapter-5","buonanno, chapter-5",-2140455898.0,1.0
186,-2140455898,87," ""2019-11-24 18:23:56""",chapter-5,buonanno,639,134,825,1,"buonanno, chapter-5","buonanno, chapter-5",-2140455898.0,1.0
187,-2140455898,2," ""2019-11-25 23:53:26""",chapter-5,buonanno,639,134,825,1,"buonanno, chapter-5","buonanno, chapter-5",-2140455898.0,1.0
188,-2140455898,1," ""2019-11-25 23:54:26""",chapter-5,buonanno,639,134,825,1,"buonanno, chapter-5","buonanno, chapter-5",-2140455898.0,1.0
189,-2140455898,9," ""2019-11-25 23:54:56""",chapter-5,buonanno,639,134,825,1,"buonanno, chapter-5","buonanno, chapter-6",-2140455898.0,1.0
190,-2140455898,25," ""2019-11-26 17:43:31""",chapter-6,buonanno,639,134,825,1,"buonanno, chapter-6","buonanno, chapter-6",-2140455898.0,1.0
192,-2140455898,65," ""2019-11-26 18:03:47""",chapter-6,buonanno,639,134,825,1,"buonanno, chapter-6","buonanno, chapter-6",-2140455898.0,1.0
191,-2140455898,11," ""2019-12-01 22:52:54""",chapter-6,buonanno,639,134,825,1,"buonanno, chapter-6","buonanno, chapter-6",-2140455898.0,1.0
193,-2140455898,13," ""2019-12-01 23:06:55""",chapter-6,buonanno,639,134,825,1,"buonanno, chapter-6","buonanno, chapter-6",-2140455898.0,1.0
194,-2140455898,14," ""2019-12-01 23:13:25""",chapter-6,buonanno,639,134,825,1,"buonanno, chapter-6","buonanno, chapter-7",-2140455898.0,1.0
195,-2140455898,1," ""2019-12-08 13:56:32""",chapter-7,buonanno,639,134,825,1,"buonanno, chapter-7","buonanno, chapter-7",-2140455898.0,1.0
196,-2140455898,264," ""2019-12-08 13:57:02""",chapter-7,buonanno,639,134,825,1,"buonanno, chapter-7","buonanno, chapter-7",-2140455898.0,1.0
197,-2140455898,57," ""2019-12-08 16:37:39""",chapter-7,buonanno,639,134,825,1,"buonanno, chapter-7","buonanno, chapter-8",-2140455898.0,1.0
199,-2140455898,4," ""2019-12-08 17:47:20""",chapter-8,buonanno,639,134,825,1,"buonanno, chapter-8","buonanno, chapter-8",-2140455898.0,1.0
198,-2140455898,20," ""2019-12-08 17:47:50""",chapter-8,buonanno,639,134,825,1,"buonanno, chapter-8","buonanno, chapter-8",-2140455898.0,1.0
200,-2140455898,93," ""2019-12-08 23:55:21""",chapter-8,buonanno,639,134,825,1,"buonanno, chapter-8","buonanno, chapter-8",-2140455898.0,1.0
201,-2140455898,1," ""2019-12-09 02:05:07""",chapter-8,buonanno,639,134,825,1,"buonanno, chapter-8","buonanno, chapter-8",-2140455898.0,1.0
